COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Indonesia,IDN,SEARO,REPORTING,17-08-2021,84293970,55100253,30.818,20.145,29193717,10.673,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",13-01-2021,5
Iran (Islamic Republic of),IRN,EMRO,REPORTING,16-08-2021,19894523,15513459,23.686,18.47,4381064,5.216,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V",09-02-2021,4
Iraq,IRQ,EMRO,REPORTING,05-07-2021,1087866,699325,2.705,1.739,388541,0.966,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",02-03-2021,4
Ireland,IRL,EURO,OWID,20-08-2021,6574056,3586658,132.423,72.247,3217265,64.806,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Isle of Man,IMN,EURO,OWID,21-08-2021,125989,65378,148.167,76.886,60611,71.28,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Israel,ISR,EURO,OWID,21-08-2021,12708044,5889977,146.82,68.049,5440584,62.857,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Italy,ITA,EURO,OWID,21-08-2021,75194688,41429598,126.078,69.464,35177529,58.982,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Jamaica,JAM,AMRO,REPORTING,20-08-2021,420627,283552,14.205,9.576,138044,4.662,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,SII - Covishield",10-03-2021,3
Japan,JPN,WPRO,REPORTING,13-08-2021,84009438,48862145,66.423,38.633,35147293,27.79,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",17-02-2021,4
Jersey,JEY,EURO,OWID,15-08-2021,146439,75506,135.848,70.045,70933,65.803,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3
Jordan,JOR,EMRO,REPORTING,23-08-2021,6135960,3372285,60.138,33.051,2763675,27.087,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",13-01-2021,6
Kazakhstan,KAZ,EURO,OWID,21-08-2021,11285628,6322910,60.104,33.674,4962718,26.43,"QazVac, Sinopharm/HayatVax, Gamaleya - Sputnik V",,3
Kenya,KEN,AFRO,REPORTING,23-08-2021,2412209,1631022,4.486,3.033,781187,1.453,SII - Covishield,05-03-2021,1
Kiribati,KIR,WPRO,REPORTING,30-07-2021,13970,13970,11.695,11.695,,,AstraZeneca - Vaxzevria,26-05-2021,1
Kosovo,XKX,EURO,OWID,17-08-2021,601701,388422,33.509,21.631,213279,11.877,AstraZeneca - AZD1222,,1
Kuwait,KWT,EMRO,REPORTING,04-08-2021,2380000,,55.73,,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",28-12-2020,5
Kyrgyzstan,KGZ,EURO,OWID,21-08-2021,989905,635267,15.173,9.737,352916,5.409,"Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,2
Lao People's Democratic Republic,LAO,WPRO,REPORTING,31-07-2021,2050711,1179668,28.186,16.214,988156,13.582,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",25-11-2020,7
Latvia,LVA,EURO,OWID,20-08-2021,1454263,829029,76.232,43.458,735276,38.543,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Lebanon,LBN,EMRO,REPORTING,22-08-2021,2480015,1361506,36.335,19.948,1118509,16.387,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",14-02-2021,4
Lesotho,LSO,AFRO,REPORTING,23-08-2021,72948,40767,3.405,1.903,32181,1.502,SII - Covishield,10-03-2021,1
Liberia,LBR,AFRO,REPORTING,23-08-2021,113680,104545,2.248,2.067,27392,0.542,SII - Covishield,01-04-2021,1
Libya,LBY,EMRO,REPORTING,18-08-2021,889957,837907,12.952,12.194,52050,0.757,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",11-04-2021,7
Liechtenstein,LIE,OTHER,OWID,19-08-2021,41741,21618,107.727,55.793,20391,52.626,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Lithuania,LTU,EURO,OWID,21-08-2021,3043697,1608606,108.933,57.572,1435091,51.362,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Luxembourg,LUX,EURO,OWID,20-08-2021,751268,401988,119.99,64.204,349280,55.786,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3
Madagascar,MDG,AFRO,REPORTING,23-08-2021,197001,197001,0.711,0.711,,,SII - Covishield,10-05-2021,1
Malawi,MWI,AFRO,REPORTING,23-08-2021,888030,635098,4.642,3.32,360616,1.885,SII - Covishield,11-03-2021,1
Malaysia,MYS,WPRO,REPORTING,13-08-2021,23161255,15162424,71.56,46.847,7998831,24.714,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",24-02-2021,5
